#,responent,domain,t_s,t_i,c_op,c_e,t_s/5,t_i/5,c_s/c_e,c_i/c_e
1,1,names,91.81399989,27.15400004,20,0.2,18.36279998,5.430800009,0.510077777,0.150855556
2,2,names,35.05900002,20.73100019,10,2,7.011800003,4.146200037,0.009738611,0.005758611
3,3,names,55.52200007,34.66799998,7,0.01,11.10440001,6.933599997,2.159188892,1.348199999
4,4,names,49.64900017,21.26499987,6,0.3,9.929800034,4.252999973,0.055165556,0.023627778
5,5,names,79.63899994,31.41999984,20,2,15.92779999,6.283999968,0.044243889,0.017455555
6,6,names,53.74699998,19.71899986,15,1,10.7494,3.943799973,0.044789167,0.0164325
7,7,names,60.13100004,24.82599998,25,10,12.02620001,4.965199995,0.008351528,0.003448056
8,1,freetext,28.01900005,91.04900002,20,0.05,5.603800011,18.2098,0.622644446,2.023311112
9,2,freetext,30.14600015,35.38199997,12,8,6.029200029,7.076399994,0.002512167,0.0029485
10,3,freetext,53.80900002,28.57500005,15,0.05,10.7618,5.71500001,0.896816667,0.476250001
11,4,freetext,22.6730001,39.05999994,10,0.5,4.534600019,7.811999989,0.025192222,0.0434
12,5,freetext,37.85400009,49.76799989,35,10,7.570800018,9.953599977,0.0073605,0.009677111
13,6,freetext,21.57800007,22.49500012,15,0.1,4.315600014,4.499000025,0.179816667,0.187458334
14,7,freetext,24.73400021,55.70700002,40,0.1,4.946800041,11.1414,0.549644449,1.237933334
15,1,emails,39.87099981,24.86200023,20,0.5,7.974199963,4.972400045,0.088602222,0.055248889
16,2,emails,50.98899984,33.25500011,15,5,10.19779997,6.651000023,0.008498167,0.0055425
17,3,emails,25.37800002,26.51599979,15,0.05,5.075600004,5.303199959,0.422966667,0.44193333
18,4,emails,46.15100002,20.14199996,6,0.5,9.230200005,4.028399992,0.030767333,0.013428
19,5,emails,56.6400001,42.92199993,30,2,11.32800002,8.584399986,0.0472,0.035768333
20,6,emails,34.45499992,36.71200013,15,0.1,6.890999985,7.342400026,0.287124999,0.305933334
21,7,emails,37.74099994,43.91499996,30,0.5,7.548199987,8.782999992,0.125803333,0.146383333
22,1,dates,38.98500013,20.96399999,20,0.05,7.797000027,4.192799997,0.866333336,0.465866666
23,2,dates,24.39899993,18.92400002,14,25,4.879799986,3.784800005,0.00075908,0.000588747
24,3,dates,44.39900017,16.42399979,7,0.05,8.879800034,3.284799957,0.345325557,0.127742221
25,4,dates,22.7980001,33.84399986,6,20,4.559600019,6.768799973,0.000379967,0.000564067
26,5,dates,140.8069999,29.39600015,20,10,28.16139998,5.879200029,0.015645222,0.003266222
27,6,dates,40.28999996,29.56299996,15,1,8.057999992,5.912599993,0.033575,0.024635833
28,7,dates,73.68599987,24.4610002,28,10,14.73719997,4.892200041,0.011462267,0.003805044
29,1,phones,44.13499999,33.99500012,20,0.5,8.826999998,6.799000025,0.098077778,0.075544445
30,2,phones,69.36500001,28.99900007,8,6,13.873,5.799800014,0.005138148,0.002148074
31,3,phones,40.93600011,27.24499989,15,0.1,8.187200022,5.448999977,0.341133334,0.227041666
32,4,phones,52.07800007,68.67700005,6,0.5,10.41560001,13.73540001,0.034718667,0.045784667
33,5,phones,90.97799993,62.29699993,20,10,18.19559999,12.45939999,0.010108667,0.006921889
34,6,phones,55.93600011,33.37199998,15,1,11.18720002,6.674399996,0.046613333,0.02781
35,7,phones,60.08800006,67.87899995,28,10,12.01760001,13.57579999,0.009347022,0.010558956
36,1,times,96.96199989,17.91600013,20,2,19.39239998,3.583200026,0.053867778,0.009953333
37,2,times,64.97600007,37.94700003,8,60,12.99520001,7.589400005,0.000481304,0.000281089
38,3,times,44.57299995,21.01200008,15,10,8.914599991,4.202400017,0.003714417,0.001751
39,4,times,69.51399994,36.5539999,6,5,13.90279999,7.31079998,0.004634267,0.002436933
40,5,times,69.76799989,30.16600013,20,10,13.95359998,6.033200026,0.007752,0.003351778
41,6,times,46.37299991,15.21199989,15,2,9.274599981,3.042399979,0.019322083,0.006338333
42,7,times,74.57200003,37.71099997,30,15,14.91440001,7.542199993,0.008285778,0.004190111
43,1,units,21.58400011,32.88999987,20,0.5,4.316800022,6.577999973,0.047964445,0.073088889
44,2,units,24.48000002,29.8829999,15,100,4.896000004,5.976599979,0.000204,0.000249025
45,3,units,18.8039999,19.01100016,15,50,3.76079998,3.802200031,0.0003134,0.00031685
46,4,units,17.09699988,45.13800001,6,0.4,3.419399977,9.027600002,0.0142475,0.037615
47,5,units,30.0769999,40.19300008,20,10,6.015399981,8.038600016,0.003341889,0.004465889
48,6,units,16.41900015,16.74699998,15,1,3.28380003,3.349399996,0.0136825,0.013955833
49,7,units,19.26199985,25.0480001,30,30,3.852399969,5.009600019,0.001070111,0.001391556
