responent,domain,t_s,t_i,c_op,c_e
1,names,42.57999992,22.16400003,8,1
2,names,75.14299989,53.09899998,12,1
3,names,46.35100007,32.22299981,6,1
4,names,40.07500005,17.59699988,5,0.05
5,names,64.43000007,23.63100004,8,0.1
6,names,96.86199999,78.01399994,6,5
7,names,47.66299987,23.65600014,6,0.1
8,names,47.14599991,29.87000012,300,1
9,names,63.26999998,25.48600006,25,250
10,names,55.64199996,24.36000013,6,0.1
1,freetext,33.04999995,31.31900001,15,3
2,freetext,42.8210001,55.92299986,20,4
3,freetext,24.84000015,30.0849998,8,2
4,freetext,23.398,28.76600003,5,0.05
5,freetext,45.8499999,53.20700002,8,0.1
6,freetext,29.75199986,31.1730001,6,5
7,freetext,25.90900016,30.50999999,6,0.1
8,freetext,24.75199986,37.22600007,500,10
9,freetext,28.35000014,32.79199982,25,1.00E+05
10,freetext,25.58399987,41.44000006,6,1
1,emails,45.35500002,28.28499985,20,3
2,emails,73.80699992,42.5940001,21,5
3,emails,50.704,20.54200006,6,3
4,emails,28.57499981,15.76600003,5,0.05
5,emails,39.31900001,38.86899996,8,0.1
6,emails,47.7019999,28.17700005,6,5
7,emails,37.42000008,70.54499984,6,10
8,emails,29.00600004,53.04499984,500,2
9,emails,34.40300012,26.29499984,25,10
10,emails,41.90700006,26.89499998,6,0.05
1,dates,53.9940002,23.19499993,25,2
2,dates,102.5929999,40.69300008,20,4
3,dates,22.14899993,18.05299997,6,2
4,dates,18.05999994,22.21799994,5,0.05
5,dates,76.99700022,27.77499986,8,0.1
6,dates,48.54699993,21.61000013,6,5
7,dates,74.61999989,21.92400002,6,10
8,dates,62.56999993,25.24699998,700,2
9,dates,27.05800009,17.27399993,25,1.00E+05
10,dates,59.59800005,19.26199985,6,0.05
1,phones,73.50399995,45.68300009,20,3
2,phones,85.7349999,73.33100009,25,4
3,phones,54.69099998,43.31200004,6,3
4,phones,55.12300014,31,5,0.05
5,phones,90.99300003,46.53499985,8,0.1
6,phones,69.04400015,28.03499985,6,5
7,phones,45.24599981,54.8440001,6,10
8,phones,64.25,179.1329999,700,3
9,phones,56.50199986,42.31500006,25,10
10,phones,47.07599998,34.95599985,6,1
1,times,66.80599999,26.4519999,15,3
2,times,155.0969999,84.60700011,30,6
3,times,68.03900003,20.68900013,6,5
4,times,38.2099998,16.50200009,5,0.05
5,times,66.28699994,31.41499996,8,0.1
6,times,63.45800018,28.83200002,6,5
7,times,70.20700002,29.26900005,6,10
8,times,46.44299984,46.9460001,800,3
9,times,46.59599996,27.21899986,25,1.00E+05
10,times,43.47200012,31.90899992,6,0.5
1,units,26.523,25.88699985,30,10
2,units,64.78699994,123.119,30,12
3,units,18.8269999,35.83000016,7,3
4,units,16.7190001,17.14599991,5,0.05
5,units,28.19900012,38.48199987,8,0.1
6,units,29.34399986,19.75699997,6,5
7,units,20.68700004,28.77199984,6,10
8,units,32.51300001,38.273,40,3
9,units,15.42400002,17.17700005,25,1.00E+05
10,units,17.75300002,22.4000001,6,100
